SITE,CONT,NO_SPECIES,NO_ORDERS,NO_FAMILIES,GlobalID,lon_bio,lat_bio,mean_HYP,mean_LOP,mean_FCT_HOD,mean_FCT_AL,mean_FCT_OL,mean_FCT_SF,mean_FCT_OT,mean_FCT_CM,NPP
96667,EU,13,2,7,96667,105.69,-3.31,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2458.733606
96681,EU,12,2,6,96681,111.99,-3.31,1.083333333,0.8,1,0.166666667,0.416666667,0.166666667,0,0,2463.02928
96682,EU,11,2,5,96682,112.44,-3.31,1.090909091,0.888888889,1,0.181818182,0.454545455,0.181818182,0,0,2425.019822
96685,EU,10,2,4,96685,113.79,-3.31,1.1,0.888888889,1,0.2,0.5,0.2,0,0,2437.481756
96686,EU,10,2,4,96686,114.24,-3.31,1.1,0.888888889,1,0.2,0.5,0.2,0,0,2420.03511
96687,EU,11,2,5,96687,114.69,-3.31,1.090909091,0.8,1,0.181818182,0.454545455,0.181818182,0,0,2420.420079
96688,EU,13,2,6,96688,115.14,-3.31,1.076923077,0.666666667,1,0.230769231,0.384615385,0.230769231,0,0,2398.463288
96689,EU,13,2,6,96689,115.59,-3.31,1.076923077,0.666666667,1,0.230769231,0.384615385,0.230769231,0,0,2434.110082
96690,EU,13,2,5,96690,116.04,-3.31,1.076923077,0.666666667,1,0.307692308,0.384615385,0.153846154,0,0,2444.164956
97459,EU,14,2,7,97459,101.52,-2.86,1.214285714,0.615384615,1,0.142857143,0.357142857,0.285714286,0,0,2674.091858
97460,EU,15,3,8,97460,101.97,-2.86,1.2,0.571428571,1,0.2,0.333333333,0.266666667,0,0,2524.153384
97461,EU,14,3,8,97461,102.42,-2.86,1.214285714,0.615384615,1,0.214285714,0.357142857,0.214285714,0,0,2576.073722
97462,EU,12,2,6,97462,102.87,-2.86,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2553.835567
97463,EU,14,3,8,97463,103.32,-2.86,1.214285714,0.461538462,1.142857143,0.142857143,0.357142857,0.214285714,0.071428571,0.071428571,2469.761149
97464,EU,13,2,7,97464,103.77,-2.86,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2366.066812
